"date","observer.initials","obs.method","device","point.number","time","sky","wind","noise","temp","species.code","count.number","type.a.v","distance.50.u.o","notes","correct.id"
2023-07-07,"BDG","hearing","human","RC1","8:43",1,0,1,70,"REVI",1,"a",NA,"","no"
2023-07-07,"BDG","hearing","human","RC1","8:43",1,0,1,70,"BTNW",1,"a",NA,"","yes"
2023-07-07,"BDG","hearing","human","RC1","8:43",1,0,1,70,"RBNU",1,"a",NA,"","unverifiable"
2023-07-07,"BDG","hearing","human","RC1","8:43",1,0,1,70,"HETH",1,"a",NA,"","yes"
2023-07-07,"EDH","merlin","iPhone SE","RC1","8:43",1,0,1,70,"BHVI",1,"a",NA,"audio files","yes"
2023-07-07,"EDH","merlin","iPhone SE","RC1","8:43",1,0,1,70,"RWBL",1,"a",NA,"","no"
2023-07-07,"EDH","merlin","iPhone SE","RC1","8:43",1,0,1,70,"BTNW",1,"a",NA,"","yes"
2023-07-07,"EDH","merlin","iPhone SE","RC1","8:43",1,0,1,70,"REVI",1,"a",NA,"","no"
2023-07-07,"EJD","merlin","Samsung Galaxy Tab A7 Lite","RC1","8:43",1,0,1,70,"BHVI",1,"a",NA,"audio_files","yes"
2023-07-07,"EJD","merlin","Samsung Galaxy Tab A7 Lite","RC1","8:43",1,0,1,70,"BTNW",1,"a",NA,"","yes"
2023-07-07,"EJD","merlin","Samsung Galaxy Tab A7 Lite","RC1","8:43",1,0,1,70,"RWBL",1,"a",NA,"","no"
2023-07-07,"KL","playback",NA,"RC1","8:43",1,0,1,70,"BHVI",NA,"a",NA,"",NA
2023-07-07,"KL","playback",NA,"RC1","8:43",1,0,1,70,"BTNW",NA,"a",NA,"",NA
2023-07-07,"KL","playback",NA,"RC1","8:43",1,0,1,70,"HETH",NA,"a",NA,"",NA
2023-07-07,"BDG","hearing","human","RC10","10:19",1,0,1,70,"BTNW",1,"a",NA,"","yes"
2023-07-07,"BDG","hearing","human","RC10","10:19",1,0,1,70,"DEJU",1,"a",NA,"","unverifiable"
2023-07-07,"BDG","hearing","human","RC10","10:19",1,0,1,70,"OVEN",1,"a",NA,"","yes"
2023-07-07,"EDH","merlin","iPhone SE","RC10","10:19",1,0,1,70,"BTNW",1,"a",NA,"","yes"
2023-07-07,"EDH","merlin","iPhone SE","RC10","10:19",1,0,1,70,"OVEN",1,"a",NA,"","yes"
2023-07-07,"EJD","merlin","Samsung Galaxy Tab A7 Lite","RC10","10:19",1,0,1,70,"BTNW",1,"a",NA,"","yes"
2023-07-07,"EJD","merlin","Samsung Galaxy Tab A7 Lite","RC10","10:19",1,0,1,70,"OVEN",1,"a",NA,"","yes"
2023-07-07,"KL","playback",NA,"RC10","10:19",1,0,1,70,"BTNW",NA,"a",NA,"",NA
2023-07-07,"KL","playback",NA,"RC10","10:19",1,0,1,70,"OVEN",NA,"a",NA,"",NA
2023-07-07,"BDG","hearing","human","RC2","8:54",1,0,1,70,"HETH",1,"a",NA,"","yes"
2023-07-07,"BDG","hearing","human","RC2","8:54",1,0,1,70,"BTNW",1,"a",NA,"","yes"
2023-07-07,"BDG","hearing","human","RC2","8:54",1,0,1,70,"OVEN",1,"a",NA,"","yes"
2023-07-07,"BDG","hearing","human","RC2","8:54",1,0,1,70,"WTSP",1,"a",NA,"","yes"
2023-07-07,"EDH","merlin","iPhone SE","RC2","8:54",1,0,1,70,"OVEN",1,"a",NA,"","yes"
2023-07-07,"EDH","merlin","iPhone SE","RC2","8:54",1,0,1,70,"BTNW",1,"a",NA,"","yes"
2023-07-07,"EDH","merlin","iPhone SE","RC2","8:54",1,0,1,70,"COYE",1,"a",NA,"","yes"
2023-07-07,"EDH","merlin","iPhone SE","RC2","8:54",1,0,1,70,"HETH",1,"a",NA,"","yes"
2023-07-07,"EDH","merlin","iPhone SE","RC2","8:54",1,0,1,70,"WOTH",1,"a",NA,"","no"
2023-07-07,"EDH","merlin","iPhone SE","RC2","8:54",1,0,1,70,"WTSP",1,"a",NA,"","yes"
2023-07-07,"EJD","merlin","Samsung Galaxy Tab A7 Lite","RC2","8:54",1,0,1,70,"HETH",1,"a",NA,"","yes"
2023-07-07,"EJD","merlin","Samsung Galaxy Tab A7 Lite","RC2","8:54",1,0,1,70,"BTNW",1,"a",NA,"","yes"
2023-07-07,"EJD","merlin","Samsung Galaxy Tab A7 Lite","RC2","8:54",1,0,1,70,"OVEN",1,"a",NA,"","yes"
2023-07-07,"EJD","merlin","Samsung Galaxy Tab A7 Lite","RC2","8:54",1,0,1,70,"COYE",1,"a",NA,"","yes"
2023-07-07,"EJD","merlin","Samsung Galaxy Tab A7 Lite","RC2","8:54",1,0,1,70,"WTSP",1,"a",NA,"","yes"
2023-07-07,"KL","playback",NA,"RC2","8:54",1,0,1,70,"OVEN",NA,"a",NA,"",NA
2023-07-07,"KL","playback",NA,"RC2","8:54",1,0,1,70,"HETH",NA,"a",NA,"",NA
2023-07-07,"KL","playback",NA,"RC2","8:54",1,0,1,70,"BTNW",NA,"a",NA,"",NA
2023-07-07,"KL","playback",NA,"RC2","8:54",1,0,1,70,"COYE",NA,"a",NA,"",NA
2023-07-07,"KL","playback",NA,"RC2","8:54",1,0,1,70,"WTSP",NA,"a",NA,"",NA
2023-07-07,"BDG","hearing","human","RC3","9:04",1,0,1,70,"OVEN",1,"a",NA,"","yes"
2023-07-07,"BDG","hearing","human","RC3","9:04",1,0,1,70,"BTNW",1,"a",NA,"","yes"
2023-07-07,"BDG","hearing","human","RC3","9:04",1,0,1,70,"NAWA",1,"a",NA,"","yes"
2023-07-07,"BDG","hearing","human","RC3","9:04",1,0,1,70,"HETH",1,"a",NA,"","yes"
2023-07-07,"BDG","hearing","human","RC3","9:04",1,0,1,70,"REVI",1,"a",NA,"","unverifiable"
2023-07-07,"EDH","merlin","iPhone SE","RC3","9:04",1,0,1,70,"OVEN",1,"a",NA,"","yes"
2023-07-07,"EDH","merlin","iPhone SE","RC3","9:04",1,0,1,70,"BTNW",1,"a",NA,"","yes"
2023-07-07,"EJD","merlin","Samsung Galaxy Tab A7 Lite","RC3","9:04",1,0,1,70,"BTNW",1,"a",NA,"","yes"
2023-07-07,"EJD","merlin","Samsung Galaxy Tab A7 Lite","RC3","9:04",1,0,1,70,"OVEN",1,"a",NA,"","yes"
2023-07-07,"KL","playback",NA,"RC3","9:04",1,0,1,70,"OVEN",NA,"a",NA,"",NA
