"point.number","species.code","perc","obs"
"RC1","AGOL",0.153846153846154,"human"
"RC1","AMCR",0.461538461538462,"human"
"RC1","AMPI",NA,"human"
"RC1","AMRO",0.153846153846154,"human"
"RC1","BADO",0.0769230769230769,"human"
"RC1","BAWW",NA,"human"
"RC1","BBPL",NA,"human"
"RC1","BCCH",0.0769230769230769,"human"
"RC1","BHVI",NA,"human"
"RC1","BLJA",0.0769230769230769,"human"
"RC1","BLPW",NA,"human"
"RC1","BRCR",0.0769230769230769,"human"
"RC1","BTNW",0.153846153846154,"human"
"RC1","BWHA",0.0769230769230769,"human"
"RC1","CAWA",NA,"human"
"RC1","CEDW",0.0769230769230769,"human"
"RC1","CHSP",NA,"human"
"RC1","CMWA",NA,"human"
"RC1","COHA",NA,"human"
"RC1","CORA",0.0769230769230769,"human"
"RC1","COYE",NA,"human"
"RC1","DEJU",0.153846153846154,"human"
"RC1","DOWO",NA,"human"
"RC1","EAKI",NA,"human"
"RC1","EAPH",NA,"human"
"RC1","GCKI",0.307692307692308,"human"
"RC1","GRCA",NA,"human"
"RC1","HAWO",0.0769230769230769,"human"
"RC1","HERG",NA,"human"
"RC1","HETH",0.230769230769231,"human"
"RC1","HOFI",NA,"human"
"RC1","INBU",NA,"human"
"RC1","LEFL",NA,"human"
"RC1","MAWA",NA,"human"
"RC1","MODO",0.0769230769230769,"human"
"RC1","NAWA",NA,"human"
"RC1","NOCA",NA,"human"
"RC1","NOFL",NA,"human"
"RC1","NOPA",NA,"human"
"RC1","OSPR",0.0769230769230769,"human"
"RC1","OVEN",NA,"human"
"RC1","PAWA",NA,"human"
"RC1","PISI",0.0769230769230769,"human"
"RC1","PIWA",NA,"human"
"RC1","PIWO",NA,"human"
"RC1","PUFI",NA,"human"
"RC1","RBNU",0.384615384615385,"human"
"RC1","RECR",NA,"human"
"RC1","REVI",0.307692307692308,"human"
"RC1","RTHA",NA,"human"
"RC1","RWBL",NA,"human"
"RC1","SOSP",NA,"human"
"RC1","SWSP",NA,"human"
"RC1","SWTH",0.0769230769230769,"human"
"RC1","WOTH",NA,"human"
"RC1","WTSP",0.0769230769230769,"human"
"RC1","WWCR",NA,"human"
"RC1","YEWA",NA,"human"
"RC1","YRWA",0.230769230769231,"human"
"RC2","AGOL",0.0769230769230769,"human"
"RC2","AMCR",0.307692307692308,"human"
"RC2","AMPI",NA,"human"
"RC2","AMRO",0.0769230769230769,"human"
"RC2","BADO",NA,"human"
"RC2","BAWW",NA,"human"
"RC2","BBPL",NA,"human"
"RC2","BCCH",0.307692307692308,"human"
"RC2","BHVI",NA,"human"
"RC2","BLJA",0.153846153846154,"human"
"RC2","BLPW",NA,"human"
"RC2","BRCR",NA,"human"
"RC2","BTNW",0.307692307692308,"human"
"RC2","BWHA",NA,"human"
"RC2","CAWA",NA,"human"
"RC2","CEDW",0.0769230769230769,"human"
"RC2","CHSP",NA,"human"
"RC2","CMWA",NA,"human"
"RC2","COHA",NA,"human"
"RC2","CORA",0.0769230769230769,"human"
"RC2","COYE",0.0769230769230769,"human"
"RC2","DEJU",NA,"human"
"RC2","DOWO",NA,"human"
"RC2","EAKI",NA,"human"
"RC2","EAPH",NA,"human"
"RC2","GCKI",0.307692307692308,"human"
"RC2","GRCA",NA,"human"
"RC2","HAWO",NA,"human"
"RC2","HERG",0.0769230769230769,"human"
"RC2","HETH",0.0769230769230769,"human"
"RC2","HOFI",NA,"human"
"RC2","INBU",NA,"human"
"RC2","LEFL",NA,"human"
"RC2","MAWA",NA,"human"
"RC2","MODO",0.0769230769230769,"human"
"RC2","NAWA",NA,"human"
"RC2","NOCA",NA,"human"
"RC2","NOFL",NA,"human"
"RC2","NOPA",NA,"human"
"RC2","OSPR",0.0769230769230769,"human"
"RC2","OVEN",0.0769230769230769,"human"
"RC2","PAWA",NA,"human"
"RC2","PISI",0.153846153846154,"human"
"RC2","PIWA",NA,"human"
"RC2","PIWO",NA,"human"
"RC2","PUFI",NA,"human"
