"point.number","species.code","perc","obs"
"RC1","AGOL",0.133333333333333,"human"
"RC1","AMCR",0.533333333333333,"human"
"RC1","AMPI",NA,"human"
"RC1","AMRO",0.133333333333333,"human"
"RC1","BADO",0.0666666666666667,"human"
"RC1","BAWW",NA,"human"
"RC1","BCCH",0.0666666666666667,"human"
"RC1","BHVI",NA,"human"
"RC1","BLJA",0.133333333333333,"human"
"RC1","BLPW",NA,"human"
"RC1","BRCR",NA,"human"
"RC1","BTNW",0.133333333333333,"human"
"RC1","BWHA",0.0666666666666667,"human"
"RC1","CANG",NA,"human"
"RC1","CEDW",0.0666666666666667,"human"
"RC1","CHSP",NA,"human"
"RC1","COHA",NA,"human"
"RC1","CORA",0.0666666666666667,"human"
"RC1","COYE",NA,"human"
"RC1","DEJU",NA,"human"
"RC1","DOWO",NA,"human"
"RC1","EAKI",NA,"human"
"RC1","EAPH",NA,"human"
"RC1","GCKI",0.2,"human"
"RC1","GRCA",NA,"human"
"RC1","HAWO",0.0666666666666667,"human"
"RC1","HERG",NA,"human"
"RC1","HETH",0.2,"human"
"RC1","HOFI",NA,"human"
"RC1","LEFL",NA,"human"
"RC1","MAWA",NA,"human"
"RC1","MODO",0.0666666666666667,"human"
"RC1","NAWA",NA,"human"
"RC1","NOFL",NA,"human"
"RC1","NOPA",NA,"human"
"RC1","OSPR",0.0666666666666667,"human"
"RC1","OVEN",NA,"human"
"RC1","PAWA",NA,"human"
"RC1","PISI",0.0666666666666667,"human"
"RC1","PIWA",NA,"human"
"RC1","PIWO",NA,"human"
"RC1","PUFI",NA,"human"
"RC1","RBNU",0.333333333333333,"human"
"RC1","RECR",NA,"human"
"RC1","REVI",0.133333333333333,"human"
"RC1","SOSP",NA,"human"
"RC1","SWTH",0.0666666666666667,"human"
"RC1","WTSP",0.0666666666666667,"human"
"RC1","WWCR",NA,"human"
"RC1","YRWA",0.133333333333333,"human"
"RC2","AGOL",0.133333333333333,"human"
"RC2","AMCR",0.333333333333333,"human"
"RC2","AMPI",NA,"human"
"RC2","AMRO",0.0666666666666667,"human"
"RC2","BADO",NA,"human"
"RC2","BAWW",NA,"human"
"RC2","BCCH",0.266666666666667,"human"
"RC2","BHVI",NA,"human"
"RC2","BLJA",0.133333333333333,"human"
"RC2","BLPW",NA,"human"
"RC2","BRCR",NA,"human"
"RC2","BTNW",0.266666666666667,"human"
"RC2","BWHA",NA,"human"
"RC2","CANG",NA,"human"
"RC2","CEDW",NA,"human"
"RC2","CHSP",NA,"human"
"RC2","COHA",NA,"human"
"RC2","CORA",0.0666666666666667,"human"
"RC2","COYE",0.0666666666666667,"human"
"RC2","DEJU",NA,"human"
"RC2","DOWO",NA,"human"
"RC2","EAKI",NA,"human"
"RC2","EAPH",NA,"human"
"RC2","GCKI",0.333333333333333,"human"
"RC2","GRCA",NA,"human"
"RC2","HAWO",NA,"human"
"RC2","HERG",0.0666666666666667,"human"
"RC2","HETH",0.0666666666666667,"human"
"RC2","HOFI",NA,"human"
"RC2","LEFL",NA,"human"
"RC2","MAWA",NA,"human"
"RC2","MODO",0.0666666666666667,"human"
"RC2","NAWA",NA,"human"
"RC2","NOFL",NA,"human"
"RC2","NOPA",NA,"human"
"RC2","OSPR",0.0666666666666667,"human"
"RC2","OVEN",0.0666666666666667,"human"
"RC2","PAWA",NA,"human"
"RC2","PISI",0.133333333333333,"human"
"RC2","PIWA",NA,"human"
"RC2","PIWO",NA,"human"
"RC2","PUFI",NA,"human"
"RC2","RBNU",0.2,"human"
"RC2","RECR",NA,"human"
"RC2","REVI",0.2,"human"
"RC2","SOSP",NA,"human"
"RC2","SWTH",NA,"human"
"RC2","WTSP",0.2,"human"
"RC2","WWCR",NA,"human"
"RC2","YRWA",0.133333333333333,"human"
"RC3","AGOL",0.0714285714285714,"human"
"RC3","AMCR",0.5,"human"
"RC3","AMPI",NA,"human"
"RC3","AMRO",NA,"human"
"RC3","BADO",NA,"human"
"RC3","BAWW",NA,"human"
"RC3","BCCH",0.142857142857143,"human"
"RC3","BHVI",NA,"human"
"RC3","BLJA",0.214285714285714,"human"
"RC3","BLPW",NA,"human"
"RC3","BRCR",NA,"human"
"RC3","BTNW",0.285714285714286,"human"
"RC3","BWHA",0.0714285714285714,"human"
"RC3","CANG",NA,"human"
"RC3","CEDW",NA,"human"
"RC3","CHSP",NA,"human"
"RC3","COHA",NA,"human"
"RC3","CORA",NA,"human"
"RC3","COYE",NA,"human"
"RC3","DEJU",0.0714285714285714,"human"
"RC3","DOWO",NA,"human"
"RC3","EAKI",NA,"human"
"RC3","EAPH",NA,"human"
"RC3","GCKI",0.285714285714286,"human"
"RC3","GRCA",0.0714285714285714,"human"
"RC3","HAWO",NA,"human"
"RC3","HERG",NA,"human"
"RC3","HETH",0.0714285714285714,"human"
"RC3","HOFI",NA,"human"
"RC3","LEFL",NA,"human"
"RC3","MAWA",NA,"human"
"RC3","MODO",0.142857142857143,"human"
"RC3","NAWA",0.0714285714285714,"human"
"RC3","NOFL",NA,"human"
"RC3","NOPA",NA,"human"
"RC3","OSPR",NA,"human"
"RC3","OVEN",0.0714285714285714,"human"
"RC3","PAWA",NA,"human"
"RC3","PISI",0.142857142857143,"human"
"RC3","PIWA",NA,"human"
"RC3","PIWO",NA,"human"
"RC3","PUFI",NA,"human"
"RC3","RBNU",0.214285714285714,"human"
"RC3","RECR",NA,"human"
"RC3","REVI",0.5,"human"
"RC3","SOSP",NA,"human"
"RC3","SWTH",NA,"human"
"RC3","WTSP",NA,"human"
"RC3","WWCR",NA,"human"
"RC3","YRWA",0.0714285714285714,"human"
"RC4","AGOL",0.133333333333333,"human"
"RC4","AMCR",0.2,"human"
"RC4","AMPI",NA,"human"
"RC4","AMRO",0.133333333333333,"human"
