"species.code","obs","RC1","RC2","RC3","RC4","RC5","RC6","RC7","RC8","RC9","RC10","sum"
"AGOL","merlin",0,1,1,1,1,0,0,1,0,0,5
"AMCR","merlin",1,1,1,0,1,1,0,0,0,0,5
"AMPI","merlin",0,0,1,0,0,0,0,0,0,0,1
"AMRO","merlin",1,1,0,1,1,1,0,0,1,1,7
"BADO","merlin",0,0,0,0,0,0,0,0,0,0,0
"BAWW","merlin",1,0,1,1,1,0,0,0,0,0,4
"BBPL","merlin",0,0,0,0,0,0,0,0,1,0,1
"BCCH","merlin",1,1,0,1,0,0,0,1,0,1,5
"BHVI","merlin",1,0,1,0,1,0,0,0,1,0,4
"BLJA","merlin",0,0,1,1,1,0,1,1,0,0,5
"BLPW","merlin",0,1,0,0,0,0,0,0,0,0,1
"BRCR","merlin",0,1,1,1,0,0,1,0,0,0,4
"BTNW","merlin",1,1,1,1,1,1,0,1,1,1,9
"BWHA","merlin",0,0,0,0,0,0,0,0,0,0,0
"CAWA","merlin",0,0,0,0,1,0,0,0,0,0,1
"CEDW","merlin",1,0,0,0,1,1,0,0,0,1,4
"CHSP","merlin",0,0,0,0,1,0,0,0,0,0,1
"CMWA","merlin",0,0,0,0,0,0,1,0,0,0,1
"COHA","merlin",0,0,0,0,0,0,0,0,0,0,0
"CORA","merlin",1,1,0,0,0,0,0,0,0,0,2
"COYE","merlin",0,1,0,0,0,0,0,0,0,0,1
"DEJU","merlin",0,1,0,1,1,0,0,1,1,0,5
"DOWO","merlin",0,0,0,1,1,0,0,0,0,0,2
"EAKI","merlin",0,0,0,0,1,0,0,0,0,0,1
"EAPH","merlin",0,0,0,0,1,0,0,0,0,0,1
"GCKI","merlin",1,1,1,0,1,0,1,1,1,1,8
"GRCA","merlin",0,1,1,0,1,0,0,0,0,0,3
"HAWO","merlin",1,0,0,1,1,0,0,0,0,0,3
"HERG","merlin",0,0,0,0,0,0,0,0,0,0,0
"HETH","merlin",1,1,1,1,1,1,1,1,1,1,10
"HOFI","merlin",0,0,0,0,0,0,0,0,0,0,0
"INBU","merlin",0,1,0,0,0,0,0,0,0,0,1
"LEFL","merlin",0,0,0,0,0,0,0,0,0,0,0
"MAWA","merlin",0,0,0,0,1,1,0,0,0,0,2
"MODO","merlin",0,0,1,0,0,0,1,0,1,0,3
"NAWA","merlin",0,0,0,1,0,1,1,0,0,0,3
"NOCA","merlin",0,0,0,1,0,0,0,0,1,0,2
"NOFL","merlin",0,0,0,0,1,0,0,1,1,0,3
"NOPA","merlin",0,0,0,0,0,0,0,0,0,0,0
"OSPR","merlin",1,0,0,0,0,1,0,0,0,0,2
"OVEN","merlin",0,1,1,1,0,1,1,1,0,1,7
"PAWA","merlin",0,0,0,1,0,0,0,0,0,0,1
"PISI","merlin",1,0,0,0,1,0,0,0,0,1,3
"PIWA","merlin",0,0,0,0,0,0,0,0,0,0,0
"PIWO","merlin",0,0,0,1,0,1,0,0,0,0,2
"PUFI","merlin",0,0,0,0,0,0,0,1,0,0,1
"RBNU","merlin",0,1,1,0,0,0,0,0,0,1,3
"RECR","merlin",0,0,0,0,0,0,0,0,0,0,0
"REVI","merlin",1,0,1,1,0,0,0,1,1,1,6
"RTHA","merlin",0,0,0,0,0,1,0,0,0,0,1
"RWBL","merlin",1,0,0,0,0,0,0,0,0,0,1
"SOSP","merlin",0,0,0,0,1,0,0,0,0,0,1
"SWSP","merlin",0,1,0,0,1,0,0,0,0,0,2
"SWTH","merlin",0,0,0,0,1,0,0,0,0,0,1
"WOTH","merlin",0,1,0,1,1,0,0,0,0,1,4
"WTSP","merlin",1,1,0,1,1,0,0,0,0,0,4
"WWCR","merlin",0,0,0,0,0,0,0,0,0,0,0
"YEWA","merlin",0,0,0,0,1,0,0,0,0,0,1
"YRWA","merlin",1,1,1,1,1,1,0,0,1,0,7
