date,point.number,time,species.code,observer.initials.x,correct.id,verified,id.type
7/7/23,RC1,8:43,BHVI,BDG,NA,TRUE,NA
7/7/23,RC1,8:43,BTNW,BDG,yes,TRUE,correct
7/7/23,RC1,8:43,HETH,BDG,yes,TRUE,correct
7/7/23,RC1,8:43,RBNU,BDG,unverifiable,NA,unverifiable
7/7/23,RC1,8:43,REVI,BDG,no,NA,incorrect
7/7/23,RC10,10:19,BTNW,BDG,yes,TRUE,correct
7/7/23,RC10,10:19,DEJU,BDG,unverifiable,NA,unverifiable
7/7/23,RC10,10:19,OVEN,BDG,yes,TRUE,correct
7/7/23,RC2,8:54,BTNW,BDG,yes,TRUE,correct
7/7/23,RC2,8:54,COYE,BDG,NA,TRUE,missed
7/7/23,RC2,8:54,HETH,BDG,yes,TRUE,correct
7/7/23,RC2,8:54,OVEN,BDG,yes,TRUE,correct
7/7/23,RC2,8:54,WTSP,BDG,yes,TRUE,correct
7/7/23,RC3,9:04,AMGO,BDG,NA,TRUE,missed
7/7/23,RC3,9:04,BTNW,BDG,yes,TRUE,correct
7/7/23,RC3,9:04,HETH,BDG,yes,TRUE,correct
7/7/23,RC3,9:04,NAWA,BDG,yes,TRUE,correct
7/7/23,RC3,9:04,OVEN,BDG,yes,TRUE,correct
7/7/23,RC3,9:04,REVI,BDG,unverifiable,NA,unverifiable
7/7/23,RC4,9:14,BAWW,BDG,yes,TRUE,correct
7/7/23,RC4,9:14,BTNW,BDG,yes,TRUE,correct
7/7/23,RC4,9:14,HETH,BDG,yes,TRUE,correct
7/7/23,RC4,9:14,OVEN,BDG,yes,TRUE,correct
7/7/23,RC4,9:14,WTSP,BDG,yes,TRUE,correct
7/7/23,RC5,9:24,BAWW,BDG,NA,TRUE,missed
7/7/23,RC5,9:24,BTNW,BDG,yes,TRUE,correct
7/7/23,RC5,9:24,DEJU,BDG,yes,TRUE,correct
7/7/23,RC5,9:24,HETH,BDG,yes,TRUE,correct
7/7/23,RC5,9:24,MAWA,BDG,NA,TRUE,missed
7/7/23,RC5,9:24,OVEN,BDG,unverifiable,NA,unverifiable
7/7/23,RC5,9:24,WTSP,BDG,yes,TRUE,correct
7/7/23,RC6,9:35,HETH,BDG,yes,TRUE,correct
7/7/23,RC6,9:35,MAWA,BDG,NA,TRUE,missed
7/7/23,RC6,9:35,NAWA,BDG,NA,TRUE,missed
7/7/23,RC6,9:35,OSPR,BDG,yes,TRUE,correct
7/7/23,RC6,9:35,OVEN,BDG,yes,TRUE,correct
7/7/23,RC7,9:47,HETH,BDG,yes,TRUE,correct
7/7/23,RC7,9:47,MODO,BDG,yes,TRUE,correct
7/7/23,RC7,9:47,NAWA,BDG,NA,TRUE,missed
7/7/23,RC7,9:47,OVEN,BDG,yes,TRUE,correct
7/7/23,RC8,9:57,BTNW,BDG,yes,TRUE,correct
7/7/23,RC8,9:57,GCKI,BDG,NA,TRUE,missed
7/7/23,RC8,9:57,HETH,BDG,yes,TRUE,correct
7/7/23,RC8,9:57,OVEN,BDG,yes,TRUE,correct
7/7/23,RC9,10:08,BTNW,BDG,yes,TRUE,correct
7/7/23,RC9,10:08,HETH,BDG,yes,TRUE,correct
7/7/23,RC9,10:08,REVI,BDG,yes,TRUE,correct
7/13/23,RC1,8:25,BTNW,SB,yes,TRUE,correct
7/13/23,RC1,8:25,CORA,SB,unverifiable,NA,unverifiable
7/13/23,RC1,8:25,COYE,SB,NA,TRUE,missed
7/13/23,RC1,8:25,DEJU,SB,NA,TRUE,missed
7/13/23,RC1,8:25,HETH,SB,yes,TRUE,correct
7/13/23,RC1,8:25,MODO,SB,unverifiable,NA,unverifiable
7/13/23,RC1,8:25,NAWA,SB,yes,TRUE,correct
7/13/23,RC1,8:25,NOFL,SB,unverifiable,NA,unverifiable
7/13/23,RC1,8:25,PUFI,SB,unverifiable,NA,unverifiable
7/13/23,RC1,8:25,RBNU,SB,yes,TRUE,correct
7/13/23,RC1,8:25,WTSP,SB,yes,TRUE,correct
7/13/23,RC1,8:25,YBFL,SB,NA,TRUE,missed
7/13/23,RC1,8:25,YRWA,SB,yes,TRUE,correct
7/13/23,RC10,10:05,BAWW,SB,NA,TRUE,missed
7/13/23,RC10,10:05,BCCH,SB,unverifiable,NA,unverifiable
7/13/23,RC10,10:05,BTBW,SB,NA,TRUE,missed
7/13/23,RC10,10:05,BTNW,SB,yes,TRUE,correct
7/13/23,RC10,10:05,Empidonax sp.,SB,NA,TRUE,missed
7/13/23,RC10,10:05,HETH,SB,yes,TRUE,correct
7/13/23,RC10,10:05,OVEN,SB,yes,TRUE,correct
7/13/23,RC2,8:40,BCCH,SB,NA,TRUE,missed
7/13/23,RC2,8:40,BTNW,SB,NA,TRUE,missed
7/13/23,RC2,8:40,CORA,SB,unverifiable,NA,unverifiable
7/13/23,RC2,8:40,DEJU,SB,NA,TRUE,missed
7/13/23,RC2,8:40,HETH,SB,yes,TRUE,correct
7/13/23,RC2,8:40,RBNU,SB,yes,TRUE,correct
7/13/23,RC2,8:40,WTSP,SB,yes,TRUE,correct
7/13/23,RC3,8:51,BCCH,SB,NA,TRUE,missed
7/13/23,RC3,8:51,BTBW,SB,yes,TRUE,correct
7/13/23,RC3,8:51,BTNW,SB,yes,TRUE,correct
7/13/23,RC3,8:51,CEDW,SB,NA,TRUE,missed
7/13/23,RC3,8:51,EWPW,SB,NA,TRUE,missed
7/13/23,RC3,8:51,HETH,SB,yes,TRUE,correct
7/13/23,RC3,8:51,NAWA,SB,unverifiable,NA,unverifiable
7/13/23,RC3,8:51,VEER,SB,unverifiable,NA,unverifiable
7/13/23,RC4,9:01,BTNW,SB,NA,TRUE,missed
7/13/23,RC4,9:01,BWHA,SB,yes,TRUE,correct
7/13/23,RC4,9:01,HETH,SB,yes,TRUE,correct
7/13/23,RC4,9:01,NAWA,SB,NA,TRUE,missed
7/13/23,RC4,9:01,OVEN,SB,NA,TRUE,missed
7/13/23,RC4,9:01,REVI,SB,yes,TRUE,correct
7/13/23,RC5,9:10,BTNW,SB,NA,TRUE,missed
7/13/23,RC5,9:10,CEDW,SB,NA,TRUE,missed
7/13/23,RC5,9:10,DEJU,SB,NA,TRUE,missed
7/13/23,RC5,9:10,MODO,SB,unverifiable,NA,unverifiable
7/13/23,RC5,9:10,OVEN,SB,yes,TRUE,correct
7/13/23,RC6,9:20,BTNW,SB,yes,TRUE,correct
7/13/23,RC6,9:20,CEDW,SB,NA,TRUE,missed
7/13/23,RC6,9:20,COGR,SB,unverifiable,NA,unverifiable
7/13/23,RC6,9:20,HETH,SB,NA,TRUE,missed
7/13/23,RC6,9:20,NAWA,SB,NA,TRUE,missed
7/13/23,RC6,9:20,RECR,SB,no,NA,incorrect
7/13/23,RC6,9:20,UNK,SB,NA,NA,NA
7/13/23,RC6,9:20,WWCR,SB,NA,TRUE,NA
7/13/23,RC7,9:34,AMRO,SB,unverifiable,NA,unverifiable
7/13/23,RC7,9:34,HETH,SB,yes,TRUE,correct
7/13/23,RC7,9:34,NAWA,SB,yes,TRUE,correct
7/13/23,RC7,9:34,RBNU,SB,unverifiable,NA,unverifiable
7/13/23,RC7,9:34,RECR,SB,no,NA,incorrect
7/13/23,RC7,9:34,REVI,SB,yes,TRUE,correct
7/13/23,RC7,9:34,WTSP,SB,NA,TRUE,missed
7/13/23,RC7,9:34,WWCR,SB,NA,TRUE,NA
7/13/23,RC8,9:44,BAWW,SB,yes,TRUE,correct
7/13/23,RC8,9:44,BTNW,SB,NA,TRUE,missed
7/13/23,RC8,9:44,DOWO,SB,unverifiable,NA,unverifiable
7/13/23,RC8,9:44,GCKI,SB,NA,TRUE,missed
7/13/23,RC8,9:44,HETH,SB,NA,TRUE,missed
7/13/23,RC8,9:44,OVEN,SB,yes,TRUE,correct
7/13/23,RC8,9:44,REVI,SB,yes,TRUE,correct
7/13/23,RC8,9:44,SWTH,SB,unverifiable,NA,unverifiable
7/13/23,RC8,9:44,UNK,SB,NA,NA,NA
